PID   USER     TIME   COMMAND
    1 0          0:01 /init --second-stage
 2315 0          0:01 [dhd_rxf]
 2323 0          0:00 [ts_thread:0]
 2338 0          0:01 /sbin/ueventd
 3616 0          0:00 [jbd2/mmcblk0p21]
 3617 0          0:00 [ext4-dio-unwrit]
 3629 0          0:00 /sbin/oeminfo_nvm_server
 3630 0          0:00 [jbd2/mmcblk0p38]
 3631 0          0:00 [ext4-dio-unwrit]
 3632 0          0:00 [jbd2/mmcblk0p39]
 3633 0          0:00 [ext4-dio-unwrit]
 3635 0          0:01 [jbd2/mmcblk0p40]
 3636 0          0:00 [ext4-dio-unwrit]
 3637 0          0:00 [jbd2/mmcblk0p37]
 3638 0          0:00 [ext4-dio-unwrit]
 3639 0          0:00 [jbd2/mmcblk0p34]
 3640 0          0:00 [ext4-dio-unwrit]
 3641 0          0:00 [jbd2/mmcblk0p31]
 3642 0          0:00 [ext4-dio-unwrit]
 3643 0          0:00 [jbd2/mmcblk0p32]
 3644 0          0:00 [ext4-dio-unwrit]
 3645 1036       0:05 /system/bin/logd
 3646 0          0:00 /system/bin/vold --blkid_context=u:r:blkid:s0 --blkid_untrusted_context=u:r:blkid_untrusted:s0 --fsck_context=u:r:fsck:s0 --fsck_untrusted_context=u:r:fsck_untrusted:s0
 3652 0          0:00 [kauditd]
 3675 0          0:00 /sbin/healthd
 3678 0          0:02 /system/bin/lmkd
 3681 1000       0:03 /system/bin/servicemanager
 3687 1000       0:47 /system/bin/surfaceflinger
 3689 0          0:01 /sbin/teecd
 3692 1001       0:00 /system/bin/rild
 3697 1000       0:04 /system/bin/powerlogd
 3698 0          0:01 /system/bin/netd
 3699 0          0:00 /system/bin/debuggerd
 3700 1019       0:00 /system/bin/drmserver
 3702 1013       0:00 {mediaserver} media.log n/mediaserver
 3703 0          0:00 /system/bin/installd
 3704 1017       0:00 /system/bin/keystore /data/misc/keystore
 3705 1000       0:00 /sbin/hw_ueventd
 3707 0          0:00 /system/bin/thermal-daemon
 3709 0          0:09 {main} zygote
 3712 0          0:00 /system/bin/device_monitor
 3713 0          0:00 /system/bin/diagserver
 3715 0          0:00 /system/bin/hwnffserver
 3716 0          0:01 /system/bin/hwpged
 3739 0          0:00 [kworker/7:1H]
 3770 0          0:00 [kworker/6:1H]
 3791 0          0:00 [kbase_event]
 3816 1013       0:03 /system/bin/mediaserver
 3833 0          0:00 [kworker/3:1H]
 3880 0          0:00 /system/bin/hdmi_daemon
 3886 2000       0:05 /sbin/adbd --root_seclabel=u:r:su:s0
 4012 1000       0:00 /system/bin/gatekeeperd /data/misc/gatekeeper
 4014 1000       0:00 /system/bin/fingerprintd
 4016 0          0:00 /system/bin/defragd
 4017 1000       0:00 /system/bin/logserver
 4046 0          0:00 [loop0]
 4052 0          0:00 [jbd2/loop0-8]
 4053 0          0:00 [ext4-dio-unwrit]
 4075 0          0:00 [kworker/4:1H]
 4121 0          0:00 [kworker/5:1H]
 4146 0          0:00 daemonsu:mount:master
 4182 0          0:00 daemonsu:master
 4248 1000       2:31 system_server
 4606 0          0:00 [kbase_event]
 4643 0          0:00 [pkgld]
 4644 0          0:00 [pkgld]
 4645 0          0:00 [pkgld]
 4670 1000       0:00 {wei.securitymgr} com.huawei.securitymgr
 4682 10105      0:27 {ndroid.systemui} com.android.systemui
 4703 10105      0:05 {ndroid.keyguard} com.android.keyguard
 4785 10004      0:12 {d.process.media} android.process.media
 4807 10003      0:02 {d.process.acore} android.process.acore
 4993 10106      0:10 {mpz.audioplayer} com.maxmpz.audioplayer
